protocol_key,protocol_name,time_window_hours,owner,urgency_if_incomplete,citation,trigger_patterns,action_key,action_label,action_documented_patterns,action_severity
cap,Community-Acquired Pneumonia Initial Management,6,physician,amber,IDSA/ATS Community-Acquired Pneumonia Guidelines,community-?acquired\s+pneumonia|\bCAP\b\b|pneumonia.*CURB|\bpneumonia\b.*(consolidation|infiltrate),antibiotics,Empiric antibiotics within 6h of arrival,\b(ceftriaxone|azithromycin|levofloxacin|moxifloxacin|doxycycline|amoxicillin)\b|\bantibiotics?\s+(given|started|administered),required
cap,Community-Acquired Pneumonia Initial Management,6,physician,amber,IDSA/ATS Community-Acquired Pneumonia Guidelines,community-?acquired\s+pneumonia|\bCAP\b\b|pneumonia.*CURB|\bpneumonia\b.*(consolidation|infiltrate),blood_cx,Blood cultures if severe,blood\s+culture|\bBCx\b,required
cap,Community-Acquired Pneumonia Initial Management,6,physician,amber,IDSA/ATS Community-Acquired Pneumonia Guidelines,community-?acquired\s+pneumonia|\bCAP\b\b|pneumonia.*CURB|\bpneumonia\b.*(consolidation|infiltrate),o2_assessment,Oxygenation assessed (SpO2 or ABG),SpO2|\bABG\b|oxygen\s+saturation,required
dka,Diabetic Ketoacidosis Management,2,physician,red,ADA DKA Management Guidelines,\bDKA\b|diabetic\s+ketoacidosis|anion\s+gap\s+\d{2}|beta-?hydroxybutyrate|glucose\s*[>:]?\s*[3-9]\d{2},insulin,Insulin infusion initiated,insulin\s+(drip|infusion|bolus|started)|\b0\.1\s*units?/kg,required
dka,Diabetic Ketoacidosis Management,2,physician,red,ADA DKA Management Guidelines,\bDKA\b|diabetic\s+ketoacidosis|anion\s+gap\s+\d{2}|beta-?hydroxybutyrate|glucose\s*[>:]?\s*[3-9]\d{2},fluids,IV fluid resuscitation,IV\s+fluids?|normal\s+saline|\bNS\b\s+(bolus|running),required
dka,Diabetic Ketoacidosis Management,2,physician,red,ADA DKA Management Guidelines,\bDKA\b|diabetic\s+ketoacidosis|anion\s+gap\s+\d{2}|beta-?hydroxybutyrate|glucose\s*[>:]?\s*[3-9]\d{2},k_replace,Potassium repletion if K < 5.3,potassium\s+(repletion|replacement|added)|\bKCl\b|K\s+\d,required
dka,Diabetic Ketoacidosis Management,2,physician,red,ADA DKA Management Guidelines,\bDKA\b|diabetic\s+ketoacidosis|anion\s+gap\s+\d{2}|beta-?hydroxybutyrate|glucose\s*[>:]?\s*[3-9]\d{2},monitor_gap,Serial anion gap / electrolytes,repeat\s+(labs|BMP|chem|gap)|serial\s+(labs|gap|electrolytes),required
pe,Pulmonary Embolism Initial Management,2,physician,red,ESC/AHA Pulmonary Embolism Guidelines,\bpulmonary\s+embol|(suspected|confirmed|diagnosed|acute)\s+PE\b|\bPE\b\s*(suspected|confirmed|diagnosed)|confirms?\s+(bilateral\s+)?(segmental\s+|subsegmental\s+)?PE\b|\bCTPA\s+(positive|confirms)|right\s+heart\s+strain|submassive\s+PE\b|massive\s+PE\b,anticoag,Therapeutic anticoagulation initiated,\b(heparin|enoxaparin|lovenox|apixaban|rivaroxaban)\b|therapeutic\s+anticoagulation,required
pe,Pulmonary Embolism Initial Management,2,physician,red,ESC/AHA Pulmonary Embolism Guidelines,\bpulmonary\s+embol|(suspected|confirmed|diagnosed|acute)\s+PE\b|\bPE\b\s*(suspected|confirmed|diagnosed)|confirms?\s+(bilateral\s+)?(segmental\s+|subsegmental\s+)?PE\b|\bCTPA\s+(positive|confirms)|right\s+heart\s+strain|submassive\s+PE\b|massive\s+PE\b,imaging,Confirmatory CT-PA or VQ scan,CT-?PA|V/?Q\s+scan|pulmonary\s+angiogram,required
pe,Pulmonary Embolism Initial Management,2,physician,red,ESC/AHA Pulmonary Embolism Guidelines,\bpulmonary\s+embol|(suspected|confirmed|diagnosed|acute)\s+PE\b|\bPE\b\s*(suspected|confirmed|diagnosed)|confirms?\s+(bilateral\s+)?(segmental\s+|subsegmental\s+)?PE\b|\bCTPA\s+(positive|confirms)|right\s+heart\s+strain|submassive\s+PE\b|massive\s+PE\b,risk_stratify,"Risk stratification (RV strain, troponin, BNP)",\btroponin\b|\bBNP\b|echocardiogram|RV\s+(strain|dysfunction|dilation),required
pe,Pulmonary Embolism Initial Management,2,physician,red,ESC/AHA Pulmonary Embolism Guidelines,\bpulmonary\s+embol|(suspected|confirmed|diagnosed|acute)\s+PE\b|\bPE\b\s*(suspected|confirmed|diagnosed)|confirms?\s+(bilateral\s+)?(segmental\s+|subsegmental\s+)?PE\b|\bCTPA\s+(positive|confirms)|right\s+heart\s+strain|submassive\s+PE\b|massive\s+PE\b,monitor,Telemetry / continuous monitoring,telemetry|continuous\s+monitoring|\bICU\b,required
gi_bleed,Upper GI Bleed Initial Management,2,physician,red,ACG Upper GI Bleed Guidelines,\bGIB\b|GI\s+bleed|melena|hematemesis|coffee-?ground\s+emesis|hemoglobin\s+drop|hgb\s+(dropped|decreased)\s+to,ivf_access,Two large-bore IV access + IV fluids,\btwo\s+large-?bore\b|large-?bore\s+IV|IV\s+fluids?\s+(running|bolus|initiated),required
gi_bleed,Upper GI Bleed Initial Management,2,physician,red,ACG Upper GI Bleed Guidelines,\bGIB\b|GI\s+bleed|melena|hematemesis|coffee-?ground\s+emesis|hemoglobin\s+drop|hgb\s+(dropped|decreased)\s+to,type_screen,Type and screen / type and cross,type\s+and\s+(screen|cross)|\bT&S\b|\bT&C\b,required
gi_bleed,Upper GI Bleed Initial Management,2,physician,red,ACG Upper GI Bleed Guidelines,\bGIB\b|GI\s+bleed|melena|hematemesis|coffee-?ground\s+emesis|hemoglobin\s+drop|hgb\s+(dropped|decreased)\s+to,ppi,IV proton-pump inhibitor,\b(pantoprazole|protonix|esomeprazole|nexium)\b|\bPPI\b\s+(drip|infusion),required
gi_bleed,Upper GI Bleed Initial Management,2,physician,red,ACG Upper GI Bleed Guidelines,\bGIB\b|GI\s+bleed|melena|hematemesis|coffee-?ground\s+emesis|hemoglobin\s+drop|hgb\s+(dropped|decreased)\s+to,gi_consult,GI consult / endoscopy plan,\bGI\s+(consult|notified|aware|to\s+see)|\bendoscopy\b|\bEGD\b,required
aki,Acute Kidney Injury Workup,12,physician,amber,KDIGO Acute Kidney Injury Guidelines,\bAKI\b|acute\s+kidney\s+injury|creatinine\s+(rising|rose|increased|elevated)|creatinine\s+(from\s+)?[01]\.\d\s+to\s+[2-9]|UOP\s*<|oliguria|anuria,med_review,Medication review for nephrotoxins,hold\s+(NSAID|ibuprofen|naproxen|ACE|ARB|lisinopril|losartan)|nephrotoxic\s+(review|hold|stop)|pharmacy\s+review|renal\s+dosing,required
aki,Acute Kidney Injury Workup,12,physician,amber,KDIGO Acute Kidney Injury Guidelines,\bAKI\b|acute\s+kidney\s+injury|creatinine\s+(rising|rose|increased|elevated)|creatinine\s+(from\s+)?[01]\.\d\s+to\s+[2-9]|UOP\s*<|oliguria|anuria,volume_assessment,Volume status assessment,\b(euvolemic|hypovolemic|hypervolemic)\b|\bJVP\b|orthostatic|fluid\s+(challenge|trial|bolus),required
aki,Acute Kidney Injury Workup,12,physician,amber,KDIGO Acute Kidney Injury Guidelines,\bAKI\b|acute\s+kidney\s+injury|creatinine\s+(rising|rose|increased|elevated)|creatinine\s+(from\s+)?[01]\.\d\s+to\s+[2-9]|UOP\s*<|oliguria|anuria,urine_studies,"Urine studies (FENa, sediment, electrolytes)",\bFENa\b|urine\s+(sediment|electrolytes|sodium)|muddy\s+brown,required
aki,Acute Kidney Injury Workup,12,physician,amber,KDIGO Acute Kidney Injury Guidelines,\bAKI\b|acute\s+kidney\s+injury|creatinine\s+(rising|rose|increased|elevated)|creatinine\s+(from\s+)?[01]\.\d\s+to\s+[2-9]|UOP\s*<|oliguria|anuria,renal_us,Renal ultrasound to evaluate obstruction,renal\s+(US|ultrasound)|\bhydronephrosis\b,required
ciwa,Alcohol Withdrawal (CIWA-Ar Protocol),2,physician,amber,ASAM Alcohol Withdrawal Management Guidelines,alcohol\s+(withdrawal|use\s+disorder)|\bCIWA\b|last\s+drink\s+\d|history\s+of\s+(DTs|delirium\s+tremens|withdrawal\s+seizures?)|\bAUD\b,ciwa_scoring,CIWA-Ar scoring documented q1-2h,CIWA(-Ar)?\s+(score|scoring|q\d)|withdrawal\s+scoring,required
ciwa,Alcohol Withdrawal (CIWA-Ar Protocol),2,physician,amber,ASAM Alcohol Withdrawal Management Guidelines,alcohol\s+(withdrawal|use\s+disorder)|\bCIWA\b|last\s+drink\s+\d|history\s+of\s+(DTs|delirium\s+tremens|withdrawal\s+seizures?)|\bAUD\b,benzo,Benzodiazepine protocol (symptom-triggered),\b(lorazepam|ativan|diazepam|valium|chlordiazepoxide|librium)\b|benzodiazepine\s+(taper|protocol|drip)|symptom-?triggered,required
ciwa,Alcohol Withdrawal (CIWA-Ar Protocol),2,physician,amber,ASAM Alcohol Withdrawal Management Guidelines,alcohol\s+(withdrawal|use\s+disorder)|\bCIWA\b|last\s+drink\s+\d|history\s+of\s+(DTs|delirium\s+tremens|withdrawal\s+seizures?)|\bAUD\b,thiamine,Thiamine + multivitamin (banana bag),\bthiamine\b|banana\s+bag|\bIV\s+B-?complex\b,required
ciwa,Alcohol Withdrawal (CIWA-Ar Protocol),2,physician,amber,ASAM Alcohol Withdrawal Management Guidelines,alcohol\s+(withdrawal|use\s+disorder)|\bCIWA\b|last\s+drink\s+\d|history\s+of\s+(DTs|delirium\s+tremens|withdrawal\s+seizures?)|\bAUD\b,seizure_precautions,Seizure precautions and monitoring,seizure\s+(precautions|monitoring|watch)|padded\s+rails,required
neutropenic_fever,Neutropenic Fever Empiric Management,1,physician,red,IDSA Febrile Neutropenia Guidelines,"neutropenic\s+fever|\bANC\s*[<:]?\s*\d{1,3}\b|ANC\s+(of\s+)?\d{1,3}\b|febrile\s+neutropenia|chemo(therapy)?.{0,40}fever|fever.{0,40}(chemo|induction|neutropenic)",antibiotics,Empiric broad-spectrum antibiotics within 60 min,\b(cefepime|piperacillin|tazobactam|zosyn|meropenem|imipenem)\b|empiric\s+(antibiotics?|abx),required
neutropenic_fever,Neutropenic Fever Empiric Management,1,physician,red,IDSA Febrile Neutropenia Guidelines,"neutropenic\s+fever|\bANC\s*[<:]?\s*\d{1,3}\b|ANC\s+(of\s+)?\d{1,3}\b|febrile\s+neutropenia|chemo(therapy)?.{0,40}fever|fever.{0,40}(chemo|induction|neutropenic)",blood_cx,Blood cultures x2 (including from line),blood\s+cultures?\s+x\s*2|cultures\s+from\s+(line|port|central),required
neutropenic_fever,Neutropenic Fever Empiric Management,1,physician,red,IDSA Febrile Neutropenia Guidelines,"neutropenic\s+fever|\bANC\s*[<:]?\s*\d{1,3}\b|ANC\s+(of\s+)?\d{1,3}\b|febrile\s+neutropenia|chemo(therapy)?.{0,40}fever|fever.{0,40}(chemo|induction|neutropenic)",isolation,Neutropenic precautions / isolation,neutropenic\s+(precautions|isolation)|reverse\s+isolation,required
neutropenic_fever,Neutropenic Fever Empiric Management,1,physician,red,IDSA Febrile Neutropenia Guidelines,"neutropenic\s+fever|\bANC\s*[<:]?\s*\d{1,3}\b|ANC\s+(of\s+)?\d{1,3}\b|febrile\s+neutropenia|chemo(therapy)?.{0,40}fever|fever.{0,40}(chemo|induction|neutropenic)",oncology_notified,Oncology team notified,oncology\s+(notified|consult|aware|to\s+see)|primary\s+oncologist,required
hyperkalemia,Severe Hyperkalemia Treatment,1,physician,red,ESC/AHA Hyperkalemia Management Consensus,\bK\s*[: ]?\s*([6-9]\.\d|\d{2}\.\d)|hyperkalemia|potassium\s+(elevated|high|of)\s+\d|peaked\s+T-?waves?,ecg,ECG to assess for hyperkalemic changes,\b(ECG|EKG)\b|peaked\s+T|\bQRS\s+widening\b,required
hyperkalemia,Severe Hyperkalemia Treatment,1,physician,red,ESC/AHA Hyperkalemia Management Consensus,\bK\s*[: ]?\s*([6-9]\.\d|\d{2}\.\d)|hyperkalemia|potassium\s+(elevated|high|of)\s+\d|peaked\s+T-?waves?,stabilize_membrane,Calcium gluconate / chloride for membrane stabilization,calcium\s+(gluconate|chloride)|\bIV\s+calcium\b,required
hyperkalemia,Severe Hyperkalemia Treatment,1,physician,red,ESC/AHA Hyperkalemia Management Consensus,\bK\s*[: ]?\s*([6-9]\.\d|\d{2}\.\d)|hyperkalemia|potassium\s+(elevated|high|of)\s+\d|peaked\s+T-?waves?,shift_intracellular,Insulin + dextrose to shift potassium intracellularly,insulin\s+(and|\+)\s+(D50|dextrose|glucose)|D50.*insulin|\bbeta-?agonist\b|albuterol\s+nebulizer,required
hyperkalemia,Severe Hyperkalemia Treatment,1,physician,red,ESC/AHA Hyperkalemia Management Consensus,\bK\s*[: ]?\s*([6-9]\.\d|\d{2}\.\d)|hyperkalemia|potassium\s+(elevated|high|of)\s+\d|peaked\s+T-?waves?,remove,"Removal: diuretic, kayexalate, or dialysis",\b(furosemide|lasix|patiromer|kayexalate|sodium\s+polystyrene)\b|\bdialysis\b|\bCRRT\b|\bHD\b,required
copd,COPD Exacerbation Management,4,physician,amber,GOLD COPD Strategy,COPD\s+exacerbation|acute\s+exacerbation\s+of\s+COPD|\bAECOPD\b|increased\s+(sputum|dyspnea).*COPD,bronchodilator,Short-acting bronchodilators (DuoNeb / albuterol-ipratropium),\b(albuterol|ipratropium|duoneb|combivent|nebulizer)\b|bronchodilator,required
copd,COPD Exacerbation Management,4,physician,amber,GOLD COPD Strategy,COPD\s+exacerbation|acute\s+exacerbation\s+of\s+COPD|\bAECOPD\b|increased\s+(sputum|dyspnea).*COPD,steroids,Systemic corticosteroids,\b(prednisone|methylprednisolone|solu-?medrol|dexamethasone)\b|systemic\s+steroids,required
copd,COPD Exacerbation Management,4,physician,amber,GOLD COPD Strategy,COPD\s+exacerbation|acute\s+exacerbation\s+of\s+COPD|\bAECOPD\b|increased\s+(sputum|dyspnea).*COPD,antibiotics,Antibiotics if sputum purulence increased,\b(azithromycin|doxycycline|amoxicillin|levofloxacin)\b|antibiotic\s+for\s+exacerbation,required
copd,COPD Exacerbation Management,4,physician,amber,GOLD COPD Strategy,COPD\s+exacerbation|acute\s+exacerbation\s+of\s+COPD|\bAECOPD\b|increased\s+(sputum|dyspnea).*COPD,oxygen_target,Controlled oxygen targeted SpO2 88-92%,SpO2\s+(target|goal)\s+88|controlled\s+oxygen|titrate\s+(O2|oxygen),required
